SEC_EJEC,SUBGENERICA_DET_NOMBRE,NIVEL_GOBIERNO_NOMBRE,FUENTE_FINANCIAMIENTO_NOMBRE,DISTRITO_EJECUTORA_NOMBRE,RUBRO,MONTO_PIM,FUENTE_FINANCIAMIENTO,SUBGENERICA_NOMBRE,EJECUTORA,MES_DOC,DEPARTAMENTO_EJECUTORA,ESPECIFICA_DET,GENERICA_NOMBRE,MONTO_PIA,NIVEL_GOBIERNO,MONTO_RECAUDADO,EJECUTORA_NOMBRE,PLIEGO_NOMBRE,TIPO_RECURSO_NOMBRE,PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA_NOMBRE,SECTOR_NOMBRE,ANO_DOC,PLIEGO,DISTRITO_EJECUTORA,TIPO_RECURSO,ESPECIFICA_DET_NOMBRE,ESPECIFICA_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,GENERICA,ESPECIFICA,SECTOR,SUBGENERICA,RUBRO_NOMBRE,SUBGENERICA_DET
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,10,15,1,OTROS INGRESOS,0,R,13.64,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,24632,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,6,15,99,OTROS INGRESOS,0,R,850,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,11,15,1,OTROS INGRESOS,0,R,9.57,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,7,15,2,DONACIONES Y TRANSFERENCIAS,0,R,40000,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,12,15,2,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,INTERESES POR SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,902,2,RENTAS DE LA PROPIEDAD,001,12,15,1,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,5,15,1,OTROS INGRESOS,0,R,68.47,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,5,15,99,OTROS INGRESOS,0,R,2050,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,SALDOS DE BALANCE,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,SALDOS DE BALANCE,001,8,15,1,SALDOS DE BALANCE,0,R,7358.51,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,SALDOS DE BALANCE,SALDOS DE BALANCE,LIMA,9,1,98,1,DONACIONES Y TRANSFERENCIAS,1
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,5,15,2,DONACIONES Y TRANSFERENCIAS,0,R,30000,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,11,15,2,DONACIONES Y TRANSFERENCIAS,0,R,30000,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,1,15,1,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,1,15,99,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,6,15,1,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,8,15,99,OTROS INGRESOS,0,R,2550,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,190000,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,8,15,2,DONACIONES Y TRANSFERENCIAS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES DE CAPITAL,001,8,15,2,DONACIONES Y TRANSFERENCIAS,0,R,10596387,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,2,DONACIONES Y TRANSFERENCIAS,3
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,1,15,2,DONACIONES Y TRANSFERENCIAS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES DE CAPITAL,001,10,15,2,DONACIONES Y TRANSFERENCIAS,0,R,1758129,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,2,DONACIONES Y TRANSFERENCIAS,3
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,RENTAS DE LA PROPIEDAD,001,1,15,1,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,DONACIONES Y TRANSFERENCIAS,1
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,12,15,1,OTROS INGRESOS,0,R,9.06,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,4,15,2,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,1758129,4,DONACIONES DE CAPITAL,001,10,15,2,DONACIONES Y TRANSFERENCIAS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,2,DONACIONES Y TRANSFERENCIAS,3
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,4,15,99,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,SANCIONES,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,132761,2,MULTAS Y SANCIONES NO TRIBUTARIAS,001,3,15,99,OTROS INGRESOS,0,R,155342.65,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTRAS SANCIONES,SANCIONES ADMINISTRATIVAS,LIMA,5,1,98,2,RECURSOS DIRECTAMENTE RECAUDADOS,2
360001,INGRESOS DIVERSOS,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,INGRESOS DIVERSOS,001,5,15,99,OTROS INGRESOS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,OTROS INGRESOS DIVERSOS,OTROS INGRESOS DIVERSOS,LIMA,5,4,98,5,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,6,15,1,OTROS INGRESOS,0,R,470.85,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,7,15,1,OTROS INGRESOS,0,R,141.98,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,0,4,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,8,15,2,DONACIONES Y TRANSFERENCIAS,0,R,150000,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,18,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,1,DONACIONES Y TRANSFERENCIAS,3
360001,SALDOS DE BALANCE,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,SALDOS DE BALANCE,001,1,15,1,SALDOS DE BALANCE,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,SALDOS DE BALANCE,SALDOS DE BALANCE,LIMA,9,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,RENTAS DE LA PROPIEDAD FINANCIERA,GOBIERNOS REGIONALES,RECURSOS DIRECTAMENTE RECAUDADOS,SAN ISIDRO,09,0,2,RENTAS DE LA PROPIEDAD,001,8,15,1,OTROS INGRESOS,0,R,123.22,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,7,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,INTERESES,LIMA,5,1,98,1,RECURSOS DIRECTAMENTE RECAUDADOS,1
360001,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNOS REGIONALES,DONACIONES Y TRANSFERENCIAS,SAN ISIDRO,13,10596387,4,DONACIONES DE CAPITAL,001,8,15,2,DONACIONES Y TRANSFERENCIAS,0,R,0,MANCOMUNIDAD REGIONAL DE LOS ANDES,MANCOMUNIDAD REGIONAL DE LOS ANDES,NORMAL,01,LIMA,MANCOMUNIDADES REGIONALES,2023,001,31,0,DE LOS GOBIERNOS REGIONALES,DE OTRAS UNIDADES DE GOBIERNO,LIMA,4,1,98,2,DONACIONES Y TRANSFERENCIAS,3
